Date,Company,Carbon_Credit_Price_USD_per_ton,AI_Compute_Intensity,Cooling_Efficiency_PUE,Renewable_Energy_Percentage,Daily_Emissions_Tons_CO2,Carbon_Credits_Needed,Carbon_Credits_Generated,Transaction_Volume_USD,Traditional_Settlement_Days,Smart_Contract_Settlement_Minutes,Traditional_Payment_Cost_USD,Programmable_Payment_Cost_USD,Payment_Cost_Savings_USD,Is_International_Transaction,Forex_Fee_USD,Total_Traditional_Cost_USD,Total_Programmable_Cost_USD,Total_Savings_USD,ROI_Percentage,Compliance_Score_Percentage,Audit_Trail_Completeness_Percentage,Regulatory_Reporting_Time_Hours,Manual_Processing_Hours,Automated_Processing_Minutes,AI_Model_Training_Carbon_Intensity_kg_CO2,Inference_Carbon_Footprint_g_CO2,Data_Center_Efficiency_Score
2024-09-10,Google Cloud Texas,89.34,0.785,1.65,78.5,156.78,156.78,0,14010.87,22,18,350.27,70.05,280.22,True,210.16,1610.43,87.53,1522.90,1740.1,94.3,89.2,1.2,8.5,4.2,89.3,2.451,47.6
2024-09-10,Microsoft Azure Houston,91.25,0.623,2.1,65.2,185.45,185.45,0,16922.31,28,12,423.06,84.61,338.45,False,0,1532.56,99.23,1433.33,1444.6,91.8,87.4,14.8,6.7,3.8,156.7,3.892,31.0
2024-09-10,Meta AI Infrastructure,87.12,0.892,1.48,85.4,98.23,98.23,0,8556.24,19,25,213.91,42.78,171.13,True,128.34,842.89,56.31,786.58,1397.3,95.7,92.1,0.8,4.2,7.1,67.8,1.234,57.7
2024-09-10,Tesla Gigafactory Texas,85.67,0.934,1.73,89.3,67.89,67.89,0,5816.45,24,14,145.41,29.08,116.33,False,0,734.52,43.27,691.25,1597.8,96.4,88.9,1.4,9.8,2.9,123.4,0.789,51.6
2024-09-10,NVIDIA DGX Centers,93.45,0.756,1.82,72.1,134.56,134.56,0,12571.22,17,21,314.28,62.86,251.42,True,188.57,1214.78,78.39,1136.39,1449.7,92.5,91.6,0.9,5.4,6.3,178.9,4.123,39.6
2024-09-10,Amazon AWS Dallas,88.23,0.687,1.94,68.9,167.23,167.23,0,14752.89,26,16,368.82,73.76,295.06,False,0,1387.45,89.84,1297.61,1444.6,89.7,84.3,18.2,7.9,5.1,145.2,2.567,35.4
2024-09-10,Stream Data Centers Houston,86.78,0.598,1.56,81.2,89.45,89.45,0,7762.91,20,23,194.07,38.81,155.26,True,116.44,832.18,52.73,779.45,1478.4,94.1,90.7,1.1,8.1,3.4,92.6,1.678,52.1
2024-09-10,Serverfarm Houston,84.92,0.823,2.25,59.8,245.67,245.67,0,20862.45,29,19,521.56,104.31,417.25,False,0,1984.32,129.85,1854.47,1428.5,87.9,86.1,21.3,11.2,4.7,134.8,3.214,26.6
2024-09-10,Apple Manufacturing Houston,90.15,0.712,1.67,76.4,123.89,123.89,0,11168.34,23,27,279.21,55.84,223.37,True,167.53,1078.56,71.23,1007.33,1414.3,93.6,89.8,0.7,6.8,7.8,156.7,2.891,45.8
2024-09-10,Oracle Cloud Austin,87.65,0.845,1.91,83.7,78.34,78.34,0,6867.21,18,22,171.68,34.34,137.34,False,0,721.45,48.92,672.53,1374.6,95.2,91.3,1.3,7.3,5.9,89.4,1.456,43.8
2024-09-11,Google Cloud Texas,86.21,0.734,1.72,82.3,112.45,112.45,0,9696.27,24,15,242.41,48.48,193.93,True,145.44,967.83,61.72,906.11,1468.2,93.7,88.6,1.1,9.4,2.8,134.2,2.123,47.9
2024-09-11,Microsoft Azure Houston,88.94,0.689,1.98,71.2,154.78,154.78,0,13766.89,27,11,344.17,68.83,275.34,False,0,1342.56,85.67,1256.89,1467.3,90.4,85.9,16.2,5.8,3.2,142.3,3.567,36.0
2024-09-11,Meta AI Infrastructure,85.73,0.812,1.54,87.6,89.23,89.23,0,7650.58,21,28,191.26,38.25,153.01,True,114.76,789.45,52.18,737.27,1412.8,96.1,93.4,0.6,4.7,8.2,78.9,1.789,56.9
2024-09-11,Tesla Gigafactory Texas,89.47,0.898,1.69,91.2,56.78,56.78,0,5080.23,25,17,127.01,25.40,101.61,False,0,653.78,38.72,615.06,1588.9,97.1,87.5,1.6,8.9,3.5,98.7,0.634,54.0
2024-09-11,NVIDIA DGX Centers,91.38,0.723,1.89,74.8,129.67,129.67,0,11849.45,19,24,296.24,59.25,237.99,True,177.74,1158.23,76.82,1081.41,1407.4,91.8,90.2,0.8,6.1,7.1,167.8,3.891,39.6
2024-09-11,Amazon AWS Dallas,84.56,0.654,2.01,66.7,178.45,178.45,0,15088.22,28,13,377.21,75.44,301.77,False,0,1456.78,91.23,1365.55,1496.4,88.9,83.7,19.4,8.2,4.8,156.4,2.234,33.2
2024-09-11,Stream Data Centers Houston,83.29,0.612,1.61,79.8,95.23,95.23,0,7935.61,22,26,198.39,39.68,158.71,True,119.03,845.67,53.45,792.22,1482.7,93.5,89.9,1.3,7.6,4.1,101.2,1.567,49.6
2024-09-11,Serverfarm Houston,87.64,0.789,2.31,62.1,238.96,238.96,0,20943.78,31,20,523.59,104.72,418.87,False,0,1998.45,131.56,1866.89,1418.9,86.7,84.8,22.8,10.9,5.2,149.3,3.456,26.9
2024-09-11,Apple Manufacturing Houston,92.18,0.698,1.71,78.9,118.67,118.67,0,10936.45,26,29,273.41,54.68,218.73,True,164.05,1089.56,70.23,1019.33,1451.1,92.4,88.1,0.9,7.4,8.5,162.1,2.678,46.1
2024-09-11,Oracle Cloud Austin,85.91,0.867,1.95,85.4,81.23,81.23,0,6978.34,20,25,174.46,34.89,139.57,False,0,743.21,49.67,693.54,1396.1,94.8,90.6,1.5,6.8,6.7,95.8,1.234,43.8
2024-09-12,Google Cloud Texas,92.15,0.756,1.68,80.1,127.89,127.89,0,11782.44,23,19,294.56,58.91,235.65,True,176.74,1178.92,75.34,1103.58,1465.2,92.1,87.9,1.4,8.7,3.6,145.7,2.789,47.7
2024-09-12,Microsoft Azure Houston,86.73,0.612,2.04,69.8,162.45,162.45,0,14086.89,29,14,352.17,70.43,281.74,False,0,1398.45,88.23,1310.22,1485.1,91.7,86.4,17.1,6.2,2.9,138.9,3.234,34.2
2024-09-12,Meta AI Infrastructure,88.42,0.834,1.51,89.3,78.56,78.56,0,6948.23,18,31,173.71,34.74,138.97,True,104.22,723.45,48.89,674.56,1380.2,95.8,92.7,0.7,5.1,8.9,89.4,1.456,59.1
2024-09-12,Tesla Gigafactory Texas,87.91,0.923,1.74,93.1,49.23,49.23,0,4327.89,26,16,108.20,21.64,86.56,False,0,578.34,34.23,544.11,1589.7,96.8,88.2,1.8,9.5,3.1,112.3,0.789,53.5
2024-09-12,NVIDIA DGX Centers,89.67,0.743,1.91,76.2,135.23,135.23,0,12128.45,21,27,303.21,60.64,242.57,True,181.93,1189.56,78.12,1111.44,1422.8,90.5,89.8,1.0,5.8,7.8,189.2,4.123,39.9
